DateTime,Entries,UniqueIPs
1576578635,4094,4094
1576582246,4103,4103
1576585835,4155,4155
1576590036,4179,4179
1576595436,4116,4116
1576600836,4118,4118
1576606236,4144,4144
1576609833,4124,4124
1576614041,4149,4149
1576618836,4212,4212
1576623637,4232,4232
1576627236,4247,4247
1576631436,4281,4281
1576637437,4286,4286
1576642838,4231,4231
1576647636,4250,4250
1576652436,4282,4282
1576656034,4265,4265
1576659636,4256,4256
1576663236,4277,4277
1576670434,4185,4185
1576675835,4104,4104
1576679434,4011,4011
1576683035,3988,3988
1576686635,3999,3999
1576690252,3991,3991
1576696833,3970,3970
1576704034,3944,3944
1576711834,3932,3932
1576715435,3921,3921
1576719033,3893,3893
1576722636,3875,3875
1576726233,3920,3920
1576729835,3981,3981
1576732833,4031,4031
1576737036,4118,4118
1576742436,4100,4100
1576746635,4095,4095
1576752035,4104,4104
1576755043,4124,4124
1576758636,4137,4137
1576762233,4105,4105
1576765834,4049,4049
1576770034,3947,3947
1576774236,4022,4022
1576782034,4030,4030
1576785636,4046,4046
1576789234,4044,4044
1576792837,4050,4050
1576796437,4020,4020
1576800037,4033,4033
1576803634,4037,4037
1576806636,4025,4025
1576810835,4011,4011
1576814435,4004,4004
1576818035,3997,3997
1576821634,4011,4011
1576833036,4023,4023
1576836034,4008,4008
1576839638,4006,4006
1576843234,3994,3994
1576850433,3982,3982
1576854037,3934,3934
1576857634,3872,3872
1576861235,3894,3894
1576864836,3899,3899
1576868438,3888,3888
1576879234,3880,3880
1576882835,3863,3863
1576887035,3824,3824
1576891834,3837,3837
1576899033,3839,3839
1576902634,3807,3807
1576905633,3854,3854
1576926034,3848,3848
1576936837,3797,3797
1576944035,3780,3780
1576947033,3770,3770
1576958434,3769,3769
1576965635,3784,3784
1576969248,3767,3767
1576972244,3768,3768
1576976444,3813,3813
1576980043,3782,3782
1576983643,3760,3760
1576987242,3757,3757
1576990847,3740,3740
1576994444,3743,3743
1576998044,3755,3755
1577001043,3788,3788
1577005842,3815,3815
1577011242,3793,3793
1577014247,3805,3805
1577017842,3817,3817
1577021445,3832,3832
1577025041,3847,3847
1577028641,3826,3826
1577032242,3827,3827
1577036443,3806,3806
1577041242,3816,3816
1577044841,3837,3837
1577048441,3832,3832
1577052641,3832,3832
1577057442,3900,3900
1577061041,3885,3885
1577065249,3851,3851
1577070645,3852,3852
1577073639,3814,3814
1577077242,3793,3793
1577080844,3809,3809
1577084438,3812,3812
1577088040,3809,3809
1577095237,3781,3781
1577098850,3790,3790
1577102437,3801,3801
1577106644,3753,3753
1577111447,3742,3742
1577114441,3765,3765
1577118637,3752,3752
1577122234,3753,3753
1577125853,3730,3730
1577129436,3703,3703
1577132438,3732,3732
1577136037,3737,3737
1577140245,3752,3752
1577147436,3723,3723
1577151044,3685,3685
1577157637,3691,3691
1577161242,3698,3698
1577164835,3668,3668
1577172040,3705,3705
1577179839,3731,3731
1577183443,3718,3718
1577186455,3705,3705
1577190040,3689,3689
1577193043,3663,3663
1577197840,3627,3627
1577201445,3625,3625
1577204436,3656,3656
1577208041,3727,3727
1577212239,3731,3731
1577219439,3745,3745
1577222440,3780,3780
1577226044,3813,3813
1577233839,3782,3782
1577237438,3781,3781
1577240441,3765,3765
1577248237,3823,3823
1577251846,3890,3890
1577255444,3907,3907
1577262640,3915,3915
1577266244,3869,3869
1577269835,3894,3894
1577277040,3886,3886
1577280640,3922,3922
1577284236,3880,3880
1577290838,3873,3873
1577298639,3886,3886
1577302240,3888,3888
1577305839,3892,3892
1577313044,3876,3876
1577320236,3877,3877
1577323842,3915,3915
1577331043,3896,3896
1577338240,3933,3933
1577341233,3937,3937
1577349041,3924,3924
1577352635,3980,3980
1577356840,3949,3949
1577361639,3930,3930
1577365243,3942,3942
1577368847,3939,3939
1577376040,3908,3908
1577379641,3883,3883
1577383243,3902,3902
1577386836,3914,3914
1577390445,3889,3889
1577394038,3889,3889
1577397646,3879,3879
1577401245,3890,3890
1577404848,3887,3887
1577408440,3880,3880
1577412045,3817,3817
1577415640,3792,3792
1577419241,3760,3760
1577422839,3740,3740
1577430044,3820,3820
1577436645,3897,3897
1577440841,3962,3962
1577444441,3967,3967
