DateTime,Entries,UniqueIPs
1576688173,1612,1612
1576690108,1606,1606
1576692012,1598,1598
1576693951,1605,1605
1576696108,1599,1599
1576698008,1600,1600
1576700193,1585,1585
1576702094,1589,1589
1576704023,1579,1579
1576705932,1575,1575
1576707863,1580,1580
1576709767,1569,1569
1576711945,1562,1562
1576714122,1955,1955
1576716011,1961,1961
1576717949,1965,1965
1576719848,1977,1977
1576722014,1976,1976
1576723929,1982,1982
1576725866,1986,1986
1576727768,1981,1981
1576729689,1983,1983
1576731628,1992,1992
1576733541,1993,1993
1576735469,1996,1996
1576737371,1999,1999
1576739537,1983,1983
1576741450,1984,1984
1576743639,1978,1978
1576745529,1988,1988
1576747450,1982,1982
1576749417,1976,1976
1576751287,1977,1977
1576753216,1014,1014
1576755150,1019,1019
1576757053,1553,1553
1576758980,1541,1541
1576760895,1541,1541
1576762829,1535,1535
1576764986,1536,1536
1576767127,1534,1534
1576769061,1527,1527
1576770967,1532,1532
1576772898,1532,1532
1576774859,1534,1534
1576776747,1527,1527
1576778906,1522,1522
1576780825,1508,1508
1576782743,1499,1499
1576784665,1492,1492
1576786813,1488,1488
1576788725,1482,1482
1576790650,1472,1472
1576792568,1469,1469
1576794774,1456,1456
1576796662,1459,1459
1576798584,1466,1466
1576800491,1942,1942
1576802413,1943,1943
1576804343,1944,1944
1576806258,1942,1942
1576808176,1944,1944
1576810332,1950,1950
1576812248,1944,1944
1576814192,1952,1952
1576816087,1950,1950
1576818030,1959,1959
1576819929,1958,1958
1576822106,1958,1958
1576824010,1954,1954
1576825956,1944,1944
1576827847,1937,1937
1576830015,1942,1942
1576831927,1942,1942
1576833866,1944,1944
1576835765,1946,1946
1576837937,1942,1942
1576839873,1164,1164
1576841770,1170,1170
1576843939,1636,1636
1576845847,1651,1651
1576847780,1659,1659
1576849686,1667,1667
1576851604,1656,1656
1576853537,1645,1645
1576855450,1644,1644
1576857376,1646,1646
1576859283,1633,1633
1576861214,1612,1612
1576863145,1611,1611
1576865316,1591,1591
1576867218,1576,1576
1576869148,1565,1565
1576871046,1561,1561
1576872993,1556,1556
1576874888,1534,1534
1576877051,1520,1520
1576879222,1516,1516
1576881147,1508,1508
1576883063,1507,1507
1576884978,1502,1502
1576886888,1926,1926
1576888810,1929,1929
1576890744,1938,1938
1576892653,1962,1962
1576894583,1960,1960
1576896502,1962,1962
1576898406,1958,1958
1576900328,1953,1953
1576902256,1953,1953
1576904165,1953,1953
1576906088,1957,1957
1576908024,1949,1949
1576909932,1938,1938
1576911854,1932,1932
1576914023,1930,1930
1576915936,1927,1927
1576917851,1909,1909
1576919788,1906,1906
1576921694,1911,1911
1576923618,1912,1912
1576925531,1911,1911
1576927448,1005,1005
1576929376,1008,1008
1576931285,1493,1493
1576933223,1494,1494
1576935151,1486,1486
1576937065,1489,1489
1576938978,1496,1496
1576941147,1495,1495
1576943047,1487,1487
1576945209,1478,1478
1576947128,1468,1468
1576949059,1468,1468
1576950968,1459,1459
1576952885,1457,1457
1576954833,1450,1450
1576956729,1436,1436
1576958658,1429,1429
1576960581,1424,1424
1576962515,1411,1411
1576964440,1398,1398
1576966332,1392,1392
1576968260,1390,1390
1576970425,1399,1399
1576972329,1388,1388
1576974262,1834,1834
1576976167,1832,1832
1576978101,1828,1828
1576980008,1834,1834
1576981951,1881,1881
1576984123,1876,1876
1576986013,1871,1871
1576987932,1869,1869
1576989864,1867,1867
1576991784,1868,1868
1576993687,1875,1875
1576995619,1888,1888
1576997530,1881,1881
1576999447,1870,1870
1577001379,1863,1863
1577003285,1857,1857
1577005215,1852,1852
1577007152,1850,1850
1577009054,1839,1839
1577011215,1831,1831
1577013139,1024,1024
1577015071,1026,1026
1577016983,1487,1487
1577019133,1482,1482
1577021049,1470,1470
1577022981,1451,1451
1577025146,1451,1451
1577027307,1441,1441
1577029224,1435,1435
1577031141,1428,1428
1577033050,1407,1407
1577034984,1397,1397
1577036890,1400,1400
1577038806,1401,1401
1577040739,1387,1387
1577042647,1377,1377
1577044578,1365,1365
1577046488,1354,1354
1577048414,1344,1344
1577050349,1330,1330
1577052254,1322,1322
1577054168,1313,1313
1577056116,1297,1297
1577058010,1286,1286
1577060181,1699,1699
1577062332,1707,1707
1577064250,1698,1698
1577066178,1691,1691
1577068087,1701,1701
1577070012,1706,1706
1577071950,1714,1714
1577073852,1728,1728
1577075770,1724,1724
1577077708,1716,1716
1577079615,1706,1706
1577081781,1709,1709
1577083932,1700,1700
1577085852,1697,1697
1577087779,1686,1686
1577089689,1678,1678
1577091617,1676,1676
1577093555,1664,1664
1577095453,1660,1660
1577097375,1648,1648
1577099325,850,850
1577101217,850,850
1577103391,1245,1245
1577105528,1245,1245
1577107448,1254,1254
1577109379,1250,1250
1577111285,1247,1247
1577113221,1235,1235
1577115155,1232,1232
1577117306,1218,1218
1577119209,1220,1220
1577121131,1215,1215
1577123048,1205,1205
1577124979,1205,1205
1577127152,1212,1212
1577129050,1236,1236
1577130977,1241,1241
1577132886,1243,1243
1577134835,1235,1235
1577136734,1231,1231
1577138927,1240,1240
1577140827,1267,1267
1577142754,1280,1280
1577144650,1287,1287
1577146584,1637,1637
1577148487,1673,1673
1577150408,1691,1691
1577152341,1710,1710
1577154248,1725,1725
1577156178,1749,1749
1577158339,1771,1771
1577160497,1774,1774
1577162411,1788,1788
1577164344,1793,1793
1577166251,1784,1784
1577168178,1779,1779
1577170087,1788,1788
1577172025,1813,1813
1577173931,1815,1815
1577175860,1828,1828
1577177767,1831,1831
1577179946,1828,1828
1577181858,1844,1844
1577183778,1849,1849
1577185701,1250,1250
1577187618,1258,1258
1577189547,1600,1600
1577191450,1606,1606
1577193371,1622,1622
1577195301,1628,1628
1577197207,1636,1636
1577199128,1637,1637
1577201060,1639,1639
1577202968,1635,1635
1577204887,1630,1630
1577206815,1625,1625
1577208745,1627,1627
1577210937,1617,1617
1577212808,1613,1613
1577214737,1611,1611
1577216663,1599,1599
1577218814,1607,1607
1577220748,1603,1603
1577222650,1597,1597
1577224565,1597,1597
1577226497,1590,1590
1577228432,1585,1585
1577230336,1578,1578
1577232255,1878,1878
1577234179,1883,1883
1577236349,1899,1899
1577238250,1898,1898
1577240171,1908,1908
1577242102,1914,1914
1577244006,1931,1931
1577245930,1926,1926
1577247858,1929,1929
1577249767,1942,1942
1577251698,1945,1945
1577253620,1950,1950
1577255554,1957,1957
1577257454,1963,1963
1577259611,1966,1966
1577261532,1973,1973
1577263460,1978,1978
1577265383,1983,1983
1577267296,1988,1988
1577269216,1989,1989
1577271127,1996,1996
1577273048,973,973
1577274980,986,986
1577276886,1581,1581
1577278817,1545,1545
1577280760,1528,1528
1577282652,1503,1503
1577284814,1483,1483
1577286989,1452,1452
1577289128,1449,1449
1577291063,1436,1436
1577292965,1413,1413
1577295137,1406,1406
1577297053,1390,1390
1577298983,1376,1376
1577300895,1348,1348
1577302814,1334,1334
1577304739,1307,1307
1577306656,1302,1302
1577308812,1281,1281
1577310738,1267,1267
1577312649,1251,1251
1577314579,1236,1236
1577316491,1236,1236
1577318423,1780,1780
1577320350,1779,1779
1577322254,1761,1761
1577324174,1746,1746
1577326347,1734,1734
1577328253,1724,1724
1577330415,1717,1717
1577332331,1726,1726
1577334259,1722,1722
1577336166,1715,1715
1577338087,1707,1707
1577340027,1697,1697
1577341939,1687,1687
1577344116,1663,1663
1577346021,1656,1656
1577348180,1638,1638
1577350333,1630,1630
1577352250,1619,1619
1577354167,1604,1604
1577356097,1594,1594
1577358015,873,873
1577359954,869,869
1577361853,1297,1297
1577363777,1290,1290
1577365689,1293,1293
1577367614,1289,1289
1577369543,1282,1282
1577371448,1283,1283
1577373609,1273,1273
1577375528,1267,1267
1577377459,1266,1266
1577379368,1263,1263
1577381537,1263,1263
1577383478,1265,1265
1577385368,1267,1267
1577387320,1269,1269
1577389210,1260,1260
1577391151,1268,1268
1577393052,1267,1267
1577395226,1266,1266
1577397127,1269,1269
1577399052,1270,1270
1577400976,1277,1277
1577402890,1277,1277
1577404815,1654,1654
1577406745,1662,1662
1577408910,1670,1670
1577410823,1683,1683
1577412740,1696,1696
1577414653,1690,1690
1577416582,1706,1706
1577418731,1715,1715
1577420648,1719,1719
1577422579,1722,1722
1577424487,1729,1729
1577426416,1734,1734
1577428348,1740,1740
1577430253,1749,1749
1577432170,1744,1744
1577434128,1758,1758
1577436013,1766,1766
1577437942,1780,1780
1577439860,1767,1767
1577441787,1773,1773
1577443934,1788,1788
1577445848,1181,1181
